gamma,n_0,A_V_max,M_gas,r_out
0.2247191011235955,1.2352165993694857,0.14037018116538008,4969750674.329072,7152.493138701111
0.24719101123595505,1.2352165993694857,0.12230419076769353,5096361197.034417,7842.364944593586
0.2696629213483146,1.2352165993694857,0.10614148124725918,5194004360.92376,8592.76174870006
0.29213483146067415,1.2352165993694857,0.09176241565908416,5260655890.3428545,9407.756351506043
0.3146067415730337,1.2352165993694857,0.07431827755601733,4177092272.8789997,9426.577239532935
0.33707865168539325,1.2352165993694857,0.060091115905661484,3278556827.4116874,9403.230027628093
0.3595505617977528,1.2352165993694857,0.04861857291201935,2564623749.2988462,9365.933343783465
0.38202247191011235,1.2352165993694857,0.03944407414842475,2016068676.351409,9344.158699791948
0.4044943820224719,1.2352165993694857,0.032011256532842605,1576565610.5070863,9301.971328974138
0.42696629213483145,1.2352165993694857,0.02603526230422271,1235553699.8255785,9265.812080283564
0.449438202247191,1.2352165993694857,0.02119311169418727,964528962.353946,9213.96315957024
0.47191011235955055,1.2352165993694857,0.01728151582363969,752572407.5296524,9158.645891674652
0.4943820224719101,1.2352165993694857,0.014122199807442011,587798831.2625765,9105.502501012661
0.5168539325842696,1.2352165993694857,0.011559386708536113,458206995.42766106,9043.780601965187
0.5393258426966292,1.2352165993694857,0.009482739955834308,357313127.687969,8981.89384078853
0.5617977528089888,1.2352165993694857,0.007788967398985389,277090891.6014481,8898.304475951878
0.5842696629213483,1.2352165993694857,0.0064144847471008775,215046803.4653564,8816.140821812432
0.6067415730337078,1.2352165993694857,0.00529305318192754,166278290.20539755,8719.112601530633
0.6292134831460674,1.2352165993694857,0.004381629137989331,128877729.74309209,8629.481128713647
0.651685393258427,1.2352165993694857,0.0036340811888461097,99226720.70858873,8514.378569320215
0.6741573033707865,1.2352165993694857,0.0030220886393385192,76119184.60639961,8384.955423081017
0.696629213483146,1.2352165993694857,0.002521395033974583,58335989.488667704,8251.056596598619
0.7191011235955056,1.2352165993694857,0.0021115356808558477,44758403.71146777,8120.31591563863
0.7415730337078652,1.2352165993694857,0.0017727770502677116,34001655.6490912,7953.61401894862
0.7640449438202247,1.2352165993694857,0.001493059706776381,25626008.410015915,7759.082923804697
0.7865168539325842,1.2352165993694857,0.0012630010986460355,19320838.517064117,7566.375526726914
0.8089887640449438,1.2352165993694857,0.0010723297240635117,14450181.229687775,7347.184804470503
0.8314606741573034,1.2352165993694857,0.0009142400857574851,10740037.709019408,7109.079352545931
0.8539325842696629,1.2352165993694857,0.0007830046444260572,7944280.243423172,6858.209540311079
0.8764044943820224,1.2352165993694857,0.0006724821871181505,5708539.250524471,6521.241536279869
0.898876404494382,1.2352165993694857,0.0005817615836118652,4195629.103508115,6260.678373717386
0.9213483146067416,1.2352165993694857,0.0005044743132866168,2952957.0984034124,5881.040066929581
0.9438202247191011,1.2352165993694857,0.0004402254121187724,2093815.4642601504,5536.476027931876
0.9662921348314606,1.2352165993694857,0.00038556092197942425,1431669.3902391887,5112.683242301876
0.9887640449438202,1.2352165993694857,0.00033946328570819096,964673.7869479521,4678.412879378254
1.0112359550561798,1.2352165993694857,0.0003001096179800889,624571.2856270924,4187.278155045406
1.0337078651685392,1.2352165993694857,0.0002673869884201493,419218.75038389675,3807.1304954685393
1.0561797752808988,1.2352165993694857,0.00023909235156735638,267123.62732749054,3362.469012861107
1.0786516853932584,1.2352165993694857,0.00021407834092372779,150600.0498520806,2778.171147213846
1.101123595505618,1.2352165993694857,0.00019354544509132777,93906.95517565112,2409.4099162284956
1.1235955056179776,1.2352165993694857,0.0001750527509302255,50005.66652525726,1914.3222614465526
1.146067415730337,1.2352165993694857,0.00015982300128166864,30186.973914946597,1618.2630367262902
1.1685393258426966,1.2352165993694857,0.0001465198027351979,17755.38693227433,1343.0528055062161
1.1910112359550562,1.2352165993694857,0.0001339748376642986,7907.801006528452,951.3059536809458
1.2134831460674156,1.2352165993694857,0.00012344852440959514,3938.7149960396496,711.0995276942181
1.2359550561797752,1.2352165993694857,0.00011447061692679325,2138.633106120768,554.0251806852305
1.2584269662921348,1.2352165993694857,0.00010661818028405849,1198.6532414681712,436.7173070025241
1.2808988764044944,1.2352165993694857,9.893565220332994e-05,500.52437251024105,288.2518984501569
1.303370786516854,1.2352165993694857,9.299695900844078e-05,314.37507986236915,239.34062057064423
1.3258426966292134,1.2352165993694857,8.760745904303852e-05,194.1074014340251,195.70869851943542
1.348314606741573,1.2352165993694857,8.207648134698311e-05,86.17510112848159,130.33120577313457
