wave,flux,err,path_corr
0.9295447399190664,0.10629198839471635,0.00785570621991217,1.11
0.9414781779776228,0.11505614849725672,0.008786811818912997,1.11
0.953704006410979,0.1618797640764633,0.008574810443783517,1.11
0.9662258385310472,0.1934757655641049,0.008526152878264135,1.11
0.9790467547363041,0.1761142463436869,0.008266114784332437,1.11
0.9921691657178157,0.16153627604042198,0.007724982392182417,1.11
1.0055946541021599,0.16147822360523562,0.008033633283002476,1.11
1.019324339057131,0.1681388966905891,0.007625086701621462,1.11
1.0333581625344184,0.25239961879049516,0.008275914897655107,1.11
1.04769562118343,0.304596738780834,0.008980706788216419,1.12
1.0623348095831198,0.19822490288511194,0.007646168607453051,1.12
1.0772733104231236,0.16606141625462698,0.008100324385752228,1.12
1.0925076238365548,0.16308656068037802,0.007366664072428739,1.12
1.1080329895883543,0.16099168221136076,0.008037320840268387,1.13
1.1238439247626621,0.16048940493337766,0.007950065382587863,1.13
1.1399339202296326,0.16386889496541338,0.008005650132173343,1.13
1.1562954692118335,0.17564937471997805,0.007149031799022491,1.14
1.172920110207348,0.17033137968003373,0.007279986130480436,1.14
1.189798482477525,0.18225200992282525,0.007951323186160712,1.14
1.2069203946981257,0.18240073542868324,0.007019317528359398,1.14
1.22427490282959,0.18109308173769503,0.00697270425120337,1.14
1.2418503998866297,0.19051619979885456,0.007080018520779939,1.15
1.2596347079726347,0.23397909074026074,0.0073793593063261045,1.15
1.2776150098076984,0.22343498413039647,0.007878813657240028,1.15
1.295778068512631,0.1984803268950932,0.0071641934627403635,1.15
1.3141105508925275,0.2275909368805335,0.0075365277887062005,1.15
1.3325989336743904,0.34156965238176873,0.008396347441403242,1.16
1.3512292027094672,0.38414644298097556,0.009122262238835034,1.16
1.3699877959948106,0.39312593087503983,0.009552372621779952,1.16
1.3888610454771944,0.35283220947181504,0.008855841176646876,1.16
1.4078354054332207,0.31085964445152986,0.008381706486113869,1.16
1.4268978129515848,0.2643995284905437,0.008552226343550582,1.16
1.4460351644415461,0.2686457279373903,0.008648567412600046,1.17
1.4652351804118575,0.2734186972633351,0.008697592240024088,1.17
1.484485542835912,0.3381555006083694,0.009292906923613828,1.17
1.503774894158332,0.41795816194481716,0.009918330509364606,1.17
1.5230919289675537,0.42918863412158054,0.00962899855582076,1.17
1.5424263132204807,0.3940226418842282,0.009855807284525848,1.17
1.5617678733561122,0.4098075440162893,0.010009023755210589,1.18
1.5811073562502567,0.3703991225230201,0.009519167910297222,1.18
1.6004357718665838,0.3286836795910088,0.009815774710045919,1.18
1.6197449660294148,0.3490230171019495,0.009546717175180686,1.18
1.6390271122827214,0.3253164626466511,0.009324217322488358,1.18
1.6582751384955747,0.2800529599345171,0.009032547155745238,1.19
1.6774823285483327,0.285537759197398,0.009299273108172178,1.19
1.6966426491323692,0.28217708336974184,0.009162461005402005,1.19
1.7157504065023585,0.2839966823070986,0.00950792238008561,1.19
1.7348005438698328,0.3079101367021708,0.009937900783509934,1.19
1.7537882957827848,0.36831006290447393,0.010068669284149302,1.19
1.7727094873374194,0.3410468426518565,0.010033178167484069,1.20
1.7915602014168344,0.3207022079732655,0.010064748551860566,1.20
1.8103370271307406,0.3002184708428401,0.009858564571330112,1.20
1.8290368449051946,0.2852716820653342,0.010597601289872487,1.20
1.8476568906461937,0.29680372956773937,0.010132124851781934,1.20
1.8661947450366239,0.31582635178178575,0.010270765638598122,1.20
1.8846482083551959,0.3183162415312377,0.010622394302795057,1.20
1.9030154271188704,0.3093956664922439,0.01051695177187024,1.21
1.9212947744597593,0.31847742491263364,0.010116566073757957,1.21
1.9394848318047353,0.2931259896623613,0.00970148890496525,1.21
1.9575844354875391,0.2980255662087509,0.010066904717139972,1.21
1.9755926116367761,0.3051085230081397,0.01030648182424038,1.21
1.9935085372044494,0.2977030827354414,0.010083635898174586,1.21
2.0113315901179836,0.3166782291779921,0.010236893244738539,1.21
